place,mag
"Pāhala, Hawaii",2.68
"Karluk, Alaska",0.01
"Cobb, CA",0.47
"Denali National Park, Alaska",1.4
"Toston, Montana",0.9
"Ponderosa Pines, Montana",1.93
"Lake Minchumina, Alaska",1.9
"Westmorland, CA",1.4
"Virginia City, Nevada",0.2
"Pacifica, CA",1.12
"Ocotillo, CA",1.29
"Tres Pinos, CA",1.0
"Toyah, Texas",1.8
"Indios, Puerto Rico",2.04
"Happy Valley, Alaska",1.6
"Bangor Trident Base, Washington",1.41
"Anza, CA",1.04
"Beluga, Alaska",0.06
"Kernville, CA",1.2
"Bradbury, CA",1.17
"Pāhala, Hawaii",1.98000002
"Toyah, Texas",1.6
"Petersville, Alaska",1.6
"Walker, California",1.0
Norwegian Sea,4.1
"Beatty, Nevada",-0.1
"Karluk, Alaska",-0.09
"Pāhala, Hawaii",2.01999998
"Searles Valley, CA",1.19
"Anza, CA",0.88
"Susitna, Alaska",1.8
"Glacier View, Alaska",2.5
"Tehachapi, CA",2.04
"Pāhala, Hawaii",2.0
"Clear, Alaska",1.7
"Pāhala, Hawaii",2.00999999
"Akhiok, Alaska",2.1
"Idyllwild, CA",1.31
"False Pass, Alaska",1.67
"Waimairi Beach, New Zealand",3.2
"Pedro Bay, Alaska",-0.41
"Karluk, Alaska",-0.26
"Cobb, CA",0.61
"Chilcoot-Vinton, California",0.9
"Fox, Alaska",1.1
"Atka, Alaska",4.9
"Chickaloon, Alaska",1.2
"Olancha, CA",1.33
"Vincent, CA",0.42
"Cantwell, Alaska",1.9
"Whites City, New Mexico",1.8
"Walker, CA",2.78
"Pāhala, Hawaii",2.01999998
"Lake Elsinore, CA",0.72
"Karluk, Alaska",-0.57
"Big Lake, Alaska",1.7
"Herlong, California",1.0
"Pāhala, Hawaii",2.4
"Lake View Terrace, CA",1.02
"Indian Springs, Nevada",0.1
"Beatty, Nevada",0.1
"Whites City, New Mexico",2.4
"Geysers, CA",1.45
"Geysers, CA",0.93
"Geysers, CA",1.69
southern Mid-Atlantic Ridge,5.0
"Port Blair, India",4.5
"Independence, California",1.5
"Cobb, CA",-0.32
"Geysers, CA",1.54
"Toyah, Texas",2.2
"Kenai, Alaska",3.0
"Ocotillo Wells, CA",0.86
"Geysers, CA",1.09
"Geysers, CA",1.17
"Geysers, CA",0.81
"Beluga, Alaska",0.12
"Geysers, CA",1.11
"Mina, Nevada",3.1
"Cayey, Puerto Rico",1.84
"Beluga, Alaska",1.7
"Kingston, Nevada",1.8
"Yauco, Puerto Rico",2.31
"Mammoth Lakes, CA",0.94
"Pedro Bay, Alaska",-0.84
"Gizo, Solomon Islands",4.4
"San Germán, Puerto Rico",2.7
"Borrego Springs, CA",0.8
"Halibut Cove, Alaska",2.2
Mid-Indian Ridge,4.8
"Geysers, CA",1.1
"Geysers, CA",1.04
"Nanwalek, Alaska",2.1
"Mecitözü, Turkey",4.4
"Geysers, CA",0.28
"Fakfak, Indonesia",4.3
"Karluk, Alaska",0.48
"Ivanof Bay, Alaska",0.31
"Bluff City, Kansas",1.51
"Pinnacles, CA",2.16
"Petersville, Alaska",1.8
"Rancho San Diego, CA",1.48
"Dutch Harbor, Alaska",0.06
"Desert Hot Springs, CA",1.41
"Denali National Park, Alaska",1.9
"Toyah, Texas",2.4
"Pāhala, Hawaii",2.07999992
"Dutch Harbor, Alaska",-0.78
"Saratoga, CA",0.83
"Port-Olry, Vanuatu",4.0
"Goldfield, Nevada",1.2
"Point Possession, Alaska",1.6
"Lytle Creek, CA",2.02
"Nurhak, Turkey",4.0
"Toyah, Texas",1.8
"Petersville, Alaska",1.8
"Ivanof Bay, Alaska",0.12
"Townsend, Montana",1.48
"Healy, Alaska",1.6
"Gilroy, CA",1.26
"Geysers, CA",0.77
"Borrego Springs, CA",1.28
"Toyah, Texas",2.0
"Sutcliffe, Nevada",2.5
"Whites City, New Mexico",1.9
"Toyah, Texas",1.8
"Pāhala, Hawaii",2.3
"Garnet, CA",0.7
"Karluk, Alaska",-0.02
"Idyllwild, CA",1.09
"South Van Horn, Alaska",1.7
"Ashford, Washington",1.36
"Pāhala, Hawaii",2.05999994
"Ashford, Washington",-0.17
"Pedro Bay, Alaska",0.43
"Geysers, CA",0.96
"Kingston, Nevada",1.9
"Point MacKenzie, Alaska",1.7
"Happy Valley, Alaska",2.0
"Little Lake, CA",0.5
"Geysers, CA",-0.07
"Pāhala, Hawaii",2.25
"Ollagüe, Chile",5.4
"Pāhala, Hawaii",1.82000005
"Geysers, CA",0.48
"Geysers, CA",1.3
"Geysers, CA",0.29
"Pāhala, Hawaii",1.76999998
"Toyah, Texas",1.7
"Whites City, New Mexico",1.9
"Yakutat, Alaska",1.6
"Ashford, Washington",0.97
"Pāhala, Hawaii",2.11999989
"Pedro Bay, Alaska",2.6
"Van Horn, Texas",1.6
"Pedro Bay, Alaska",-0.35
"Karluk, Alaska",-0.39
"West Yellowstone, Montana",0.38
"Idyllwild, CA",0.82
"Pāhala, Hawaii",1.97000003
"Idyllwild, CA",0.9
"Gilroy, CA",0.85
"Beatty, Nevada",0.0
"Ashford, Washington",2.37
"Geysers, CA",0.39
"Crowder, Oklahoma",1.66
"Pacheco, CA",1.83
"Geysers, CA",0.74
"Petersville, Alaska",3.0
"Geysers, CA",0.75
"Idyllwild, CA",1.3
"Nikolski, Alaska",0.69
"Beaumont, CA",1.21
"Cobb, CA",0.81
"San Jose Village, Northern Mariana Islands",4.9
"West Yellowstone, Montana",1.49
"Cobb, CA",0.48
"Four Mile Road, Alaska",1.4
"Ashford, Washington",0.93
"Bodie, CA",1.62
"Banning, CA",0.83
"West Yellowstone, Montana",0.35
"Whites City, New Mexico",1.6
"Denali National Park, Alaska",1.6
"Karluk, Alaska",-0.33
"Rialto, CA",0.83
"Fox River, Alaska",1.9
"Geysers, CA",0.63
"Saratoga, CA",0.51
"Bodie, CA",1.41
"Chase, Alaska",1.5
"Cobb, CA",0.88
"Kingston, Nevada",2.0
"West Yellowstone, Montana",1.64
"Toms Place, CA",0.62
"Cordova, Alaska",1.5
"Stanley, Idaho",1.78
"Chase, Alaska",1.7
"West Yellowstone, Montana",0.38
"Bodie, CA",2.23
"Cobb, CA",1.2
"Pāhala, Hawaii",1.79999995
"Cantwell, Alaska",1.7
"Toms Place, CA",1.84
"Denali Park, Alaska",1.6
"Valdez, Alaska",1.7
"West Yellowstone, Montana",-0.16
"Reno, Nevada",0.7
"Geysers, CA",0.76
"Karluk, Alaska",-0.37
"Denali National Park, Alaska",1.6
"Sutcliffe, Nevada",1.1
"Little Lake, CA",0.96
"Houston, Alaska",1.4
"Geysers, CA",1.06
"Palos Verdes Estates, CA",2.04
"Searles Valley, CA",1.39
"Ridgecrest, CA",0.9
"Sado, Japan",4.5
"Ashford, Washington",0.91
"Alum Rock, CA",1.19
"Skokomish, Washington",1.31
"Mentone, Texas",2.7
"Dutch Harbor, Alaska",-0.6
"Arecibo, Puerto Rico",3.57
"Sado, Japan",5.9
"Cobb, CA",0.45
"Guánica, Puerto Rico",2.97
"Toms Place, CA",1.04
"Cabazon, CA",1.07
"Avon, Montana",1.53
"West Yellowstone, Montana",0.02
"Esperanza, Puerto Rico",2.91
"Adak, Alaska",1.82
"Denali National Park, Alaska",1.8
"Millbrae, CA",1.2
"Nanwalek, Alaska",2.1
"Beatty, Nevada",-0.1
"Livengood, Alaska",1.4
"Happy Valley, Alaska",1.4
"Pangai, Tonga",5.7
"Karluk, Alaska",-0.12
"Karluk, Alaska",-0.2
"Adak, Alaska",0.99
"Anza, CA",0.87
"Karluk, Alaska",0.36
"Karluk, Alaska",1.4
"Geysers, CA",0.83
"Tyonek, Alaska",2.1
"Ukiah, CA",1.65
"Ocotillo, CA",1.29
"Hughes, Alaska",3.8
"Toyah, Texas",0.7
"Geysers, CA",0.93
"San Martin, CA",0.55
"Ocotillo, CA",1.11
"Cobb, CA",0.48
"Ivanof Bay, Alaska",0.08
"Arecibo, Puerto Rico",3.46
"Ivanof Bay, Alaska",-0.01
"Unalaska, Alaska",0.94
"Unalaska, Alaska",1.07
"Pāhala, Hawaii",1.96000004
"Volcano, Hawaii",1.78999996
"Whites City, New Mexico",1.3
"Ivanof Bay, Alaska",0.4
"Ferry, Alaska",1.4
"Ivanof Bay, Alaska",0.53
"Ivanof Bay, Alaska",0.14
"Doyle, California",1.1
"Tallaboa, Puerto Rico",2.7
"Bitung, Indonesia",4.2
"Yakutat, Alaska",1.6
"Tual, Indonesia",4.9
"Arecibo, Puerto Rico",3.42
"Happys Inn, Montana",1.42
"Big Bear City, CA",1.26
"Sutcliffe, Nevada",0.1
"Whites City, New Mexico",1.6
"Ugashik, Alaska",2.5
"Arecibo, Puerto Rico",3.43
"Fox River, Alaska",1.6
"Point Possession, Alaska",1.5
"Teluk Dalam, Indonesia",5.1
"Indian Springs, Nevada",0.0
"Toyah, Texas",1.8
"Milford, Utah",-0.09
"Cobb, CA",1.05
"Sabana Grande, Puerto Rico",2.33
"Pedro Bay, Alaska",-1.13
"Geysers, CA",1.2
"King Salmon, Alaska",1.8
"Geysers, CA",0.46
"Milford, Utah",-0.05
"Volcano, Hawaii",2.18
"Abra Pampa, Argentina",4.7
"Milford, Utah",0.19
"Milford, Utah",-0.58
"Milford, Utah",-0.3
"Milford, Utah",-0.33
"Geysers, CA",0.8
"Pāhala, Hawaii",2.29999995
"Tres Pinos, CA",0.98
"Lake View Terrace, CA",1.31
"Ridgecrest, CA",0.86
"Ollagüe, Chile",4.5
"Cobb, CA",0.42
"Petropavlovsk-Kamchatsky, Russia",4.3
"La Libertad, El Salvador",4.4
"Geysers, CA",0.83
"Sola, Vanuatu",5.2
"Ratliff City, Oklahoma",1.24
"Ivanof Bay, Alaska",0.25
"Edgefield, Louisiana",2.8
"Beatty, Nevada",1.1
"Geysers, CA",0.77
"Chino Hills, CA",1.22
"Point MacKenzie, Alaska",2.4
"Pedro Bay, Alaska",-0.52
"Geysers, CA",0.78
"Eureka Roadhouse, Alaska",2.4
"Fort Bidwell, California",1.4
"Port McNeill, Canada",4.3
"Karluk, Alaska",0.06
"Atka, Alaska",0.64
"Jurm, Afghanistan",4.0
"Cobb, CA",0.22
"Sarangani, Philippines",4.5
"Pāhala, Hawaii",2.91
"Santiago de Cao, Peru",4.9
"Geysers, CA",1.08
"Petersville, Alaska",2.2
"Pedro Bay, Alaska",-0.45
"Cobb, CA",0.76
"Lima, Montana",0.46
"Willow, Alaska",1.1
"Tatitlek, Alaska",1.4
"Geysers, CA",1.02
"Point MacKenzie, Alaska",1.7
"Cobb, CA",0.4
"Toyah, Texas",2.0
"Pope-Vannoy Landing, Alaska",1.8
"Point MacKenzie, Alaska",1.9
"Houma, Tonga",4.4
"Geysers, CA",0.91
"Geysers, CA",0.32
"Whitehall, Montana",0.88
"Toyah, Texas",1.6
"Whites City, New Mexico",1.6
"Tallaboa, Puerto Rico",2.15
"Karluk, Alaska",1.5
"Geysers, CA",1.18
"Pope-Vannoy Landing, Alaska",1.9
"Big Bear City, CA",1.96
"Cobb, CA",1.46
"Geysers, CA",1.09
"Beatty, Nevada",0.0
"Whites City, New Mexico",1.4
"Petersville, Alaska",2.1
"Meadow Lakes, Alaska",2.2
"Geysers, CA",0.22
"Whites City, New Mexico",2.0
"Virginia City, Montana",1.02
"Finschhafen, Papua New Guinea",4.6
"Mill Creek, Oklahoma",1.41
"Princeton, Canada",2.18
"Geysers, CA",0.11
"Levuka, Fiji",4.2
"Anza, CA",0.79
"Cobb, CA",1.93
"Geysers, CA",0.74
"Whites City, New Mexico",1.2
"Dutch Harbor, Alaska",0.0
"Cobb, CA",0.46
"Sarangani, Philippines",6.7
"Toyah, Texas",2.0
"Redway, CA",2.04
"Indios, Puerto Rico",2.8
"Valdez, Alaska",1.6
"Arecibo, Puerto Rico",3.14
"Tehachapi, CA",1.28
"San Juan Bautista, CA",1.64
"Karluk, Alaska",-0.74
"Home Gardens, CA",1.03
"Valle Vista, CA",0.91
"Butte, Montana",1.62
"Boron, CA",1.52
"Karluk, Alaska",0.16
"Pakokku, Myanmar",4.3
"Karluk, Alaska",1.3
"Houston, Alaska",2.6
"Amahai, Indonesia",4.1
"Beluga, Alaska",1.8
"Amahai, Indonesia",4.2
"Mill Creek, Oklahoma",1.54
"Bāfq, Iran",4.4
"Toyah, Texas",1.9
"Maug Islands region, Northern Mariana Islands",4.5
"Fern Forest, Hawaii",1.37
"Geysers, CA",0.91
"Geysers, CA",1.9
"Cobb, CA",1.25
"Ivanof Bay, Alaska",0.36
"Ashford, Washington",0.78
"Toyah, Texas",1.9
"Geysers, CA",1.16
"Elgin, South Carolina",1.89
"Ocotillo Wells, CA",1.54
"Toyah, Texas",2.3
"Pāhala, Hawaii",1.79
"Puebla, B.C., MX",2.2
"Dushanzi, China",4.5
"Whites City, New Mexico",1.3
"Adelanto, CA",1.49
"Hebgen Lake Estates, Montana",0.01
"Toyah, Texas",1.8
"Hebgen Lake Estates, Montana",2.24
"Geysers, CA",1.05
"Searles Valley, CA",1.51
"Ferry, Alaska",1.5
"Anza, CA",0.97
"Whites City, New Mexico",2.4
"Julian, CA",1.24
"Panguna, Papua New Guinea",4.9
"Geysers, CA",0.63
"Geysers, CA",0.7
"Toyah, Texas",1.9
"Mentone, Texas",1.6
"Toyah, Texas",2.0
"Ollagüe, Chile",4.3
"Muscoy, CA",1.03
"Toyah, Texas",1.8
"Minto, Alaska",1.3
"Beatty, Nevada",-0.1
"Mentone, Texas",1.7
"Ridgecrest, CA",3.05
"Ocotillo Wells, CA",1.57
"Mammoth Lakes, CA",1.04
"Dutch Harbor, Alaska",0.42
"Ocotillo, CA",1.41
"La Parguera, Puerto Rico",1.89
"Toyah, Texas",2.3
"Valdez, Alaska",1.9
"Yakutat, Alaska",2.0
"Fern Forest, Hawaii",2.47
"Fangale’ounga, Tonga",4.9
"Geysers, CA",1.07
"Volcano, Hawaii",2.35
"Beatty, Nevada",0.0
"Finschhafen, Papua New Guinea",4.1
"Abra Pampa, Argentina",4.4
"Skwentna, Alaska",1.8
"Anza, CA",0.85
"Hinatuan, Philippines",4.4
"Big Bear Lake, CA",1.4
"Toyah, Texas",1.8
"Pāhala, Hawaii",2.12
"Doğanyol, Turkey",4.3
"Boonville, CA",1.49
"Salinas, Ecuador",4.6
Pacific-Antarctic Ridge,4.5
"Salinas, Ecuador",4.6
"Eielson Air Force Base, Alaska",1.2
"Toyah, Texas",1.4
"Geysers, CA",0.76
"Prattville, CA",1.68
"Point MacKenzie, Alaska",1.8
"Cobb, CA",0.83
"McCarthy, Alaska",1.8
"Susitna North, Alaska",1.9
"Coso Junction, CA",1.23
"Calipatria, CA",1.65
"Toyah, Texas",2.5
"Geysers, CA",0.74
"Geysers, CA",1.09
"Carson City, Nevada",0.2
"Geysers, CA",0.78
"Geysers, CA",1.71
"Toyah, Texas",1.7
"Toyah, Texas",1.6
"Geysers, CA",1.32
"Pedro Bay, Alaska",-0.35
"Cantwell, Alaska",2.0
"Geysers, CA",1.18
"Geysers, CA",1.15
"Ashford, Washington",1.34
"Glacier View, Alaska",1.8
"Toyah, Texas",1.8
"Geysers, CA",0.99
"Pāhala, Hawaii",2.75
"Geysers, CA",0.59
"Tuapejat, Indonesia",5.2
"Geysers, CA",1.08
"Floriston, California",0.2
"Baker City, Oregon",2.48
"Geysers, CA",1.07
"Reno, Nevada",-0.1
"Geysers, CA",0.66
"Geysers, CA",0.92
"Geysers, CA",1.62
"Petersville, Alaska",1.8
"Geysers, CA",0.93
"Karluk, Alaska",-0.32
"Mammoth Lakes, CA",-0.44
"Arecibo, Puerto Rico",3.47
"Karluk, Alaska",-0.4
"Millbrae, CA",1.11
"Karluk, Alaska",-0.41
"Ivanof Bay, Alaska",0.15
"Prattville, CA",1.92
"Reno, Nevada",-0.5
"Pāhala, Hawaii",2.00999999
"Toyah, Texas",0.3
"Finschhafen, Papua New Guinea",4.4
"Geysers, CA",0.99
"Floriston, California",0.3
"Pinnacles, CA",1.32
"Carson City, Nevada",0.9
"Maria Antonia, Puerto Rico",2.53
"Maug Islands region, Northern Mariana Islands",4.9
"Anza, CA",1.35
"Toyah, Texas",1.3
"Aguanga, CA",1.07
"Cobb, CA",0.2
"Aguanga, CA",0.86
"Glacier View, Alaska",1.3
"Toyah, Texas",1.7
"Stevens Village, Alaska",2.1
"Milford, Utah",-0.34
"Cobb, CA",0.76
"Nikolski, Alaska",0.01
"Beluga, Alaska",2.0
"Mammoth Lakes, CA",0.67
"Pinnacles, CA",1.68
"Carbonado, Washington",0.4
"Toyah, Texas",1.9
"Petersville, Alaska",2.3
"Wilderness Rim, Washington",0.9
"West Valley City, Utah",0.66
"Deep Springs, CA",2.07
"Amboy, Washington",0.12
"Dyer, Nevada",1.9
"Geysers, CA",1.6
"Mammoth Lakes, CA",0.34
"Bamboo Flat, India",4.6
"Amboy, Washington",1.3
"Toyah, Texas",1.8
"Toms Place, CA",1.27
"Kernville, CA",2.1
"Floriston, California",1.6
"Anza, CA",1.25
"Borrego Springs, CA",1.12
"Seeley Lake, Montana",1.43
"Toyah, Texas",3.0
"Toyah, Texas",2.7
"Lake Davis, California",0.3
"Glacier View, Alaska",2.3
"Geysers, CA",2.24
"Whites City, New Mexico",1.8
"Naalehu, Hawaii",3.08
"Smith, Nevada",1.3
"El Reno, Oklahoma",1.19
"Pinnacles, CA",1.66
"Hebgen Lake Estates, Montana",1.7
"San Antonio de los Cobres, Argentina",4.4
"Aguanga, CA",1.32
"Pāhala, Hawaii",2.38
"Toyah, Texas",1.5
"Anza, CA",0.29
"Geysers, CA",2.01
"Toyah, Texas",2.2
"Geysers, CA",1.0
"Happy Valley, Alaska",1.6
"Pāhala, Hawaii",2.2
"Cobb, CA",0.77
"Pedro Bay, Alaska",-0.84
"Pinnacles, CA",2.67
"Geysers, CA",1.53
"Morton, Washington",0.9
"Pāhala, Hawaii",2.3599999
"Whites City, New Mexico",1.6
"Pāhala, Hawaii",2.24
"Pinnacles, CA",1.07
"Agua Dulce, CA",1.16
"Pedro Bay, Alaska",0.41
"Round Valley, CA",1.49
"Pāhala, Hawaii",1.88999999
"Toyah, Texas",2.2
"Yakutat, Alaska",2.0
"Cobb, CA",0.69
"Toyah, Texas",2.1
"Cantwell, Alaska",2.2
"Soldotna, Alaska",2.0
"Karluk, Alaska",0.1
"Corona, CA",1.05
"West Yellowstone, Montana",1.56
"Carson City, Nevada",0.7
"Etowah, Tennessee",2.36
"Geysers, CA",0.46
"Ackerly, Texas",2.1
"Petersville, Alaska",2.1
"Cobb, CA",0.39
"Kenai, Alaska",1.8
"Aguanga, CA",0.78
"Geysers, CA",0.6
"Geysers, CA",1.1
"Cobb, CA",0.89
"Whites City, New Mexico",1.7
"Cooper Landing, Alaska",1.8
"Toyah, Texas",2.0
"Karluk, Alaska",0.21
"Prattville, CA",2.76
"Kernville, CA",1.78
"Cantwell, Alaska",2.1
"Cobb, CA",0.58
"Toyah, Texas",2.5
"Sun Valley, Nevada",0.8
"Bodfish, CA",1.15
"Akhiok, Alaska",2.8
"Fairbanks, Alaska",1.7
"Ridgemark, CA",0.83
"Fangale’ounga, Tonga",5.3
"Salcha, Alaska",1.2
"Mentone, Texas",2.8
"Geysers, CA",1.81
"Toyah, Texas",1.5
"Reno, Nevada",0.2
"Whites City, New Mexico",2.7
"Seeley Lake, Montana",1.13
"Cobb, CA",0.3
"Pinnacles, CA",0.97
"Comapa, Guatemala",4.2
"Toyah, Texas",1.9
"Pāhala, Hawaii",2.1400001
"Geysers, CA",0.07
"Empire, Nevada",1.3
"Waynoka, Oklahoma",1.3
Balleny Islands region,5.5
"Geysers, CA",0.73
"Laojunmiao, China",4.4
"Pedro Bay, Alaska",2.4
"Whites City, New Mexico",2.0
"Idyllwild, CA",0.72
"Anderson Springs, CA",0.64
"Parkfield, CA",0.56
"Namche Bazaar, Nepal",4.2
"Aguanga, CA",2.11
"Port Alsworth, Alaska",2.8
"Julian, CA",1.38
"Hihifo, Tonga",4.2
"Geysers, CA",1.04
Balleny Islands region,5.6
"Nikolski, Alaska",0.7
"Geysers, CA",1.17
northern East Pacific Rise,4.6
"Point Possession, Alaska",1.9
"South Lead Hill, Arkansas",1.69
"Geysers, CA",0.76
"Chenega, Alaska",2.2
"Cobb, CA",1.38
"Geysers, CA",0.72
"Cobb, CA",0.93
"Mentone, Texas",2.2
"Mentone, Texas",2.9
"Carnelian Bay, California",0.4
"Cantwell, Alaska",1.9
"Karluk, Alaska",0.17
"Amboy, Washington",0.07
"Lamboglia, Puerto Rico",3.25
"Houston, Alaska",1.6
"Cobb, CA",0.7
"Karluk, Alaska",0.44
"Hawthorne, Nevada",1.2
"Valley Ranch, California",0.7
"Whites City, New Mexico",1.4
"Lobuche, Nepal",4.5
"Hampton, Canada",2.1
"La Jolla, CA",1.63
"Summit, Utah",1.07
"Niland, CA",1.45
"Pāhala, Hawaii",1.76999998
"Westbrook, Texas",2.5
"Mammoth, Wyoming",0.57
"Morgan Hill, CA",0.9
"Circleville, Utah",0.62
northern East Pacific Rise,4.4
"Geysers, CA",0.68
"Morgan Hill, CA",1.06
"Dayton, Nevada",0.4
"Whittier, Alaska",2.2
"Karluk, Alaska",0.46
"Mole Lake, Wisconsin",2.5
"Tres Pinos, CA",1.82
"Calimesa, CA",0.97
"Punta Cana, Dominican Republic",3.6
"Anamizu, Japan",4.5
"Harding-Birch Lakes, Alaska",2.0
"Indian Springs, Nevada",0.0
"Bull Shoals, Arkansas",2.22
"Mina, Nevada",1.3
"False Pass, Alaska",3.8
Carlsberg Ridge,4.3
central Mid-Atlantic Ridge,4.7
"Geysers, CA",0.66
"Pondaguitan, Philippines",4.1
"Ackerly, Texas",1.6
"Anza, CA",0.92
"Toyah, Texas",1.6
"Toyah, Texas",2.2
"Elfin Cove, Alaska",4.1
"Geysers, CA",0.23
"Geysers, CA",0.61
"Beatty, Nevada",0.5
"Pāhala, Hawaii",1.94000006
"Government Camp, Oregon",1.14
"Fern Forest, Hawaii",1.8
"Adak, Alaska",0.98
"Adak, Alaska",1.17
Carlsberg Ridge,4.3
"Adak, Alaska",1.02
"Toyah, Texas",1.6
"Luwuk, Indonesia",4.9
"Geysers, CA",0.94
"Pāhala, Hawaii",1.66
"Toyah, Texas",1.9
"San Ramon, CA",1.49
"South Lead Hill, Arkansas",2.25
"Toyah, Texas",2.9
"Toyah, Texas",1.9
"Pole Ojea, Puerto Rico",3.43
"Manhattan, Montana",0.73
"Knik River, Alaska",1.7
"Pāhala, Hawaii",1.92999995
"Denali National Park, Alaska",1.8
"Whites City, New Mexico",2.0
"Pāhala, Hawaii",1.96000004
"Cobb, CA",0.43
"South Lead Hill, Arkansas",2.37
"Cobb, CA",0.7
"Ennis, Montana",1.04
"Bradbury, CA",1.19
"Little Lake, CA",2.39
"Curahuara de Carangas, Bolivia",5.2
"Mentone, Texas",1.7
"Mentone, Texas",1.5
"Banning, CA",1.04
"Ackerly, Texas",1.7
"Condon, Montana",0.89
"Denali National Park, Alaska",1.5
"Anza, CA",0.87
"Cooperton, Oklahoma",1.63
"Eielson Air Force Base, Alaska",0.7
"San Antonio de los Cobres, Argentina",4.7
"San Germán, Puerto Rico",2.08
"Karluk, Alaska",1.5
"Mina, Nevada",1.3
"Merizo Village, Guam",5.0
"Anza, CA",1.46
"Ackerly, Texas",3.1
"Geysers, CA",0.75
"Anamizu, Japan",4.8
"San Ramon, CA",1.31
"Parkfield, CA",0.42
"Seldovia Village, Alaska",4.3
"Amboy, Washington",0.51
"Anamizu, Japan",4.5
"Volcano, Hawaii",1.79
"Devore, CA",0.93
"Cobb, CA",1.08
"Cobb, CA",0.72
"Palomar Observatory, CA",0.67
"Grapevine, CA",1.83
"Ackerly, Texas",2.5
"Furnace Creek, California",2.0
"Whites City, New Mexico",1.4
"Neenach, CA",1.14
"Toyah, Texas",1.9
"Toyah, Texas",2.1
"Toyah, Texas",2.0
"Stanley, Idaho",2.01
"Pāhala, Hawaii",1.85000002
"Toyah, Texas",1.7
"Toyah, Texas",2.4
"Balmorhea, Texas",1.2
"Anza, CA",0.93
"Mentone, Texas",2.5
"Anderson Springs, CA",0.88
"Pondaguitan, Philippines",4.5
"Yamada, Japan",4.2
"Halls Creek, Australia",4.1
"Glacier View, Alaska",1.6
"Reno, Nevada",1.0
"Geysers, CA",1.19
"West Yellowstone, Montana",1.51
"Redway, CA",1.66
"Pāhala, Hawaii",1.74000001
"Brawley, CA",1.59
"Willow Creek, Montana",1.2
"Geysers, CA",0.61
"Encinitas, CA",1.7
"Toyah, Texas",1.9
"Government Camp, Oregon",0.62
"Banda Aceh, Indonesia",4.4
"Beatty, Nevada",0.0
Mariana Islands region,4.4
"Yakutat, Alaska",1.9
"Anderson Springs, CA",0.42
"Hawaiian Ocean View, Hawaii",1.72000003
south of Panama,4.6
"Santa Elena de Uairén, Venezuela",4.5
"Ennis, Montana",0.61
"Labuan Bajo, Indonesia",4.3
"Cobb, CA",0.27
"New Pine Creek, Oregon",1.9
"Olancha, CA",1.95
"Isangel, Vanuatu",4.8
"Santa Maria, Philippines",4.6
"Whites City, New Mexico",2.2
"Fox, Alaska",1.1
"Beatty, Nevada",-0.1
"Seldovia Village, Alaska",3.1
"Reno, Nevada",0.0
"Independence, California",1.2
"West Yellowstone, Montana",0.51
"West Yellowstone, Montana",0.48
"West Yellowstone, Montana",2.08
"Palomar Observatory, CA",0.78
"Hihifo, Tonga",4.6
"Point Possession, Alaska",2.2
"Geysers, CA",1.07
"Lincoln, Montana",0.97
"Central, Alaska",2.1
"Hihifo, Tonga",4.6
"San Dimas, CA",1.55
"Geysers, CA",-0.15
"Pala, CA",2.02
"Pāhala, Hawaii",1.85000002
"Toyah, Texas",2.1
"Mina, Nevada",2.0
"Dixon Lane-Meadow Creek, CA",1.32
"Whites City, New Mexico",1.6
"Idyllwild, CA",0.84
"San Simeon, CA",2.11
"Sola, Vanuatu",4.7
"Geysers, CA",0.76
"Ridgely, Tennessee",2.03
"Denali National Park, Alaska",2.1
"Waynoka, Oklahoma",0.87
"Mentone, Texas",2.7
Vanuatu region,4.1
"Toyah, Texas",1.1
"Palomar Observatory, CA",2.16
"West Yellowstone, Montana",0.12
"West Yellowstone, Montana",-0.4
"West Yellowstone, Montana",0.11
"West Yellowstone, Montana",0.49
"West Yellowstone, Montana",0.11
"Whites City, New Mexico",1.8
"Geysers, CA",0.85
"West Yellowstone, Montana",0.02
"West Yellowstone, Montana",0.39
"Cayucos, CA",1.65
"Toyah, Texas",1.5
"Searles Valley, CA",1.1
"Tual, Indonesia",4.2
"Geysers, CA",0.39
"Toyah, Texas",1.8
"Loma Linda, CA",1.42
"Barstow, CA",1.59
"Skwentna, Alaska",1.9
"Savannah Bight, Honduras",4.6
"La Parguera, Puerto Rico",2.33
Mariana Islands region,4.1
"Dededo Village, Guam",4.0
"Volcano, Hawaii",1.86000001
"Tual, Indonesia",4.3
"Beluga, Alaska",2.0
"West Yellowstone, Montana",0.38
"West Yellowstone, Montana",0.68
"West Yellowstone, Montana",0.14
"West Yellowstone, Montana",-0.25
"Yakutat, Alaska",1.3
Kermadec Islands region,4.9
"Julian, CA",1.25
"Amboy, Washington",-0.06
"West Yellowstone, Montana",0.86
"Government Camp, Oregon",1.15
"West Yellowstone, Montana",-0.62
"Little Lake, CA",1.66
"West Yellowstone, Montana",0.73
"West Yellowstone, Montana",1.15
"West Yellowstone, Montana",-0.22
"West Yellowstone, Montana",-0.91
"West Yellowstone, Montana",-0.15
"West Yellowstone, Montana",0.07
"West Yellowstone, Montana",-0.15
"West Yellowstone, Montana",1.03
"West Yellowstone, Montana",0.38
"Geysers, CA",0.99
"Dover, Oklahoma",0.97
"West Yellowstone, Montana",0.26
"Frazier Park, CA",0.66
"Ashford, Washington",1.28
